arm,sampler,replay,step_density,regime,c,gamma,N,seed,price,ci95,std,bangbang,cpu_train,t_total,wall_s
A4,mc,coverage,1.0,g2,0.04,2.0,4096,11,1.980134,0.019049,2.488081,0.156224,58.5186,69.5418,69.56373405456543
A4,mc,coverage,1.0,g2,0.04,2.0,4096,12,1.970458,0.018799,2.455415,0.160425,58.1989,69.8226,69.84395718574524
A4,mc,coverage,1.0,g2,0.04,2.0,4096,13,1.98405,0.019186,2.505987,0.163912,58.0649,68.9661,68.98339605331421
A4,mc,coverage,1.0,g2,0.04,2.0,4096,14,1.967141,0.018814,2.457391,0.145728,58.3392,69.3776,69.40440773963928
A4,mc,coverage,1.0,g2,0.04,2.0,4096,15,1.974964,0.018948,2.474819,0.146421,58.6152,69.9831,70.00782895088196
A4,mc,coverage,1.0,g2,0.04,2.0,4096,16,1.980404,0.019147,2.500864,0.159535,58.6406,70.2608,70.28174614906311
A4,mc,coverage,1.0,g2,0.04,2.0,4096,17,1.98196,0.018985,2.479721,0.142505,58.3365,69.798,69.8139100074768
A4,mc,coverage,1.0,g2,0.04,2.0,4096,18,1.975067,0.018975,2.478432,0.155074,58.2903,69.1282,69.14829421043396
A4,mc,coverage,1.0,g2,0.04,2.0,4096,19,1.996968,0.019114,2.496466,0.160764,51.1874,56.5266,56.559234857559204
A4,mc,coverage,1.0,g2,0.04,2.0,4096,20,1.966822,0.018859,2.463182,0.168695,50.8807,56.1454,56.164608001708984
A4,mc,coverage,1.0,g2,0.04,2.0,4096,21,1.978337,0.018928,2.472282,0.160181,51.0426,56.2078,56.22634673118591
A4,mc,coverage,1.0,g2,0.04,2.0,4096,22,1.975364,0.018997,2.481189,0.14884,49.6922,54.6288,54.65064096450806
