=== Top 100 by cumulative time ===
Wed Dec  3 13:06:09 2025    runv26.prof

         2594633961 function calls (2277966005 primitive calls) in 1657.263 seconds

   Ordered by: cumulative time
   List reduced from 15468 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
module.py:1964(__setattr__)                                <-       8    0.000    0.000  activation.py:130(__init__)
                                                                   48    0.000    0.000  linear.py:93(__init__)
                                                             71974716   90.945  221.358  module.py:2855(train)
                                                                   12    0.000    0.000  networks.py:113(__init__)
                                                                   16    0.000    0.000  networks.py:232(__init__)
                                                                   40    0.000    0.000  normalization.py:177(__init__)
module.py:2877(eval)                                       <- 3271578    1.104  194.196  agent.py:274(act)
fromnumeric.py:51(_wrapfunc)                               <-       1    0.000    0.000  fromnumeric.py:109(take)
                                                                    4    0.000    0.000  fromnumeric.py:211(reshape)
                                                                   42    0.000    0.000  fromnumeric.py:462(repeat)
                                                                    4    0.000    0.000  fromnumeric.py:630(transpose)
                                                                    1    0.000    0.000  fromnumeric.py:1130(argsort)
                                                               165312    0.116   24.299  fromnumeric.py:1447(searchsorted)
                                                                   46    0.000    0.001  fromnumeric.py:2018(nonzero)
                                                             10145360    5.918   34.068  fromnumeric.py:2241(clip)
                                                               165312    0.142   92.602  fromnumeric.py:2879(cumsum)
                                                                   33    0.000    0.000  fromnumeric.py:3618(round)
{built-in method builtins.isinstance}                      <-     288    0.000    0.000  <frozen _collections_abc>:428(__new__)
                                                                 2746    0.000    0.000  <frozen importlib._bootstrap>:1101(_sanity_check)
                                                                 9520    0.001    0.001  <frozen importlib._bootstrap>:1207(_handle_fromlist)
                                                                 2861    0.000    0.000  <frozen importlib._bootstrap_external>:727(_compile_bytecode)
                                                                 2863    0.000    0.000  <frozen importlib._bootstrap_external>:1127(get_data)
                                                                 3953    0.000    0.000  <frozen importlib._bootstrap_external>:1467(_get_spec)
                                                                  509    0.000    0.000  <frozen os>:756(encode)
                                                                    1    0.000    0.000  <frozen os>:806(fsencode)
                                                                    1    0.000    0.000  <frozen os>:818(fsdecode)
                                                                45084    0.003    0.003  <frozen posixpath>:41(_get_sep)
                                                                  346    0.000    0.000  <frozen posixpath>:117(splitext)
                                                                   29    0.000    0.000  <frozen posixpath>:229(expanduser)
                                                                 6524    0.000    0.000  <frozen posixpath>:389(normpath)
                                                                    2    0.000    0.000  <frozen posixpath>:397(abspath)
                                                                 3133    0.000    0.000  <frozen posixpath>:421(_joinrealpath)
                                                                  385    0.000    0.000  <frozen zipimport>:64(__init__)
                                                                    2    0.000    0.000  <string>:10(<dictcomp>)
                                                                  477    0.000    0.000  __config__.py:14(_cleanup)
                                                                  383    0.000    0.000  __config__.py:19(_cleanup)
                                                                    5    0.000    0.000  __init__.py:23(set_module)
                                                                    1    0.000    0.000  __init__.py:37(as_bytes)
                                                                    1    0.000    0.000  __init__.py:43(normalize_encoding)
                                                                    2    0.000    0.000  __init__.py:61(as_text)
                                                                 2403    0.000    0.001  __init__.py:64(_add_op_to_registry)
                                                                    1    0.000    0.000  __init__.py:71(search_function)
                                                              2644992    0.194    0.194  __init__.py:89(_make_grads)
                                                                    2    0.000    0.000  __init__.py:89(as_str_any)
                                                                   14    0.000    0.000  __init__.py:149(__lt__)
                                                                    4    0.000    0.000  __init__.py:167(__ge__)
                                                                  290    0.000    0.000  __init__.py:202(_checkLevel)
                                                                  181    0.000    0.000  __init__.py:253(escape)
                                                                 4168    0.001    0.001  __init__.py:272(_compile)
                                                                    1    0.000    0.000  __init__.py:299(loads)
                                                                  242    0.000    0.000  __init__.py:350(namedtuple)
                                                               862558    0.113    0.113  __init__.py:1126(is_tensor)
                                                                  328    0.000    0.000  __init__.py:1327(getLogger)
                                                                  276    0.000    0.000  __init__.py:1378(_fixupParents)
                                                                 6759    0.000    0.000  __init__.py:1415(_clear_cache)
                                                                  233    0.000    0.000  __init__.py:2074(getLogger)
                                                                 1370    0.000    0.000  __init__.py:2152(<genexpr>)
                                                                    2    0.000    0.000  _argument_parser.py:94(parse)
                                                                    1    0.000    0.000  _backend.py:36(_backend_from_arg)
                                                                    5    0.000    0.000  _basic.py:3012(_is_subdtype)
                                                                    2    0.000    0.000  _basic.py:3038(_factorialx_wrapper)
                                                                   62    0.000    0.000  _bunch.py:5(_validate_names)
                                                                    1    0.000    0.000  _common.py:42(resolve)
                                                                  488    0.000    0.000  _compiler.py:570(isstring)
                                                                   15    0.000    0.000  _config_module.py:113(string_or_list_of_string_to_list)
                                                                 1736    0.000    0.000  _config_module.py:176(visit)
                                                                   10    0.000    0.000  _config_module.py:306(__init__)
                                                                   19    0.000    0.000  _config_module.py:369(__getattr__)
                                                              1416768    0.154    0.154  _convert_np.py:8(make_np)
                                                                   48    0.000    0.000  _decorator.py:27(__call__)
                                                                  623    0.000    0.000  _decorators.py:363(decorator)
                                                                  707    0.000    0.000  _decorators.py:379(<listcomp>)
                                                                  707    0.000    0.000  _decorators.py:387(<listcomp>)
                                                                    3    0.000    0.000  _decorators.py:492(indent)
                                                                    6    0.000    0.000  _distn_infrastructure.py:600(argsreduce)
                                                                    1    0.000    0.000  _distn_infrastructure.py:740(_construct_argparser)
                                                                  316    0.000    0.000  _distn_infrastructure.py:4145(get_distribution_names)
                                                                   20    0.000    0.000  _distribution_infrastructure.py:514(__init__)
                                                                    2    0.000    0.000  _distribution_infrastructure.py:2874(sample)
                                                                    2    0.000    0.000  _distribution_infrastructure.py:2885(_sample_dispatch)
                                                                  215    0.000    0.000  _docscrape.py:28(__init__)
                                                                   68    0.000    0.000  _docscrape.py:499(_str_see_also)
                                                                  108    0.000    0.000  _docscrape.py:684(<listcomp>)
                                                                  108    0.000    0.000  _docscrape.py:698(<listcomp>)
                                                                   13    0.000    0.000  _dtype_ctypes.py:103(dtype_from_ctypes_type)
                                                                    4    0.000    0.000  _flagvalues.py:434(__setitem__)
                                                                  531    0.000    0.000  _function_base_impl.py:2435(__init__)
                                                                  553    0.000    0.000  _inspect.py:13(ismethod)
                                                                  553    0.000    0.000  _inspect.py:26(isfunction)
                                                                  534    0.000    0.000  _inspect.py:41(iscode)
                                                                   16    0.000    0.000  _internal.py:102(register_log)
                                                                    1    0.000    0.000  _interpolate.py:148(_do_extrapolate)
                                                                    1    0.000    0.000  _interpolate.py:263(__init__)
                                                                    1    0.000    0.000  _interpolate.py:416(fill_value)
                                                                   26    0.000    0.000  _jit_internal.py:129(_qualified_name)
                                                                    2    0.000    0.000  _jit_internal.py:719(unused)
                                                                   26    0.000    0.000  _jit_internal.py:1008(is_pass)
                                                                 2955    0.000    0.001  _meta_registrations.py:7924(activate_meta)
                                                                25702    0.006    0.006  _methods.py:118(_mean)
                                                                16566    0.002    0.002  _methods.py:151(_var)
